relation_volume_bin,document_model_pairs,mean_relations,firing_rate,conflicts_per_relation,bound_per_relation,tightness_median,tightness_q1,tightness_q3
1-5,56,3.8214285714285716,0.32142857142857145,0.10747663551401869,0.08411214953271028,0.0,0.0,0.2
6-10,323,8.476780185758514,0.5572755417956656,0.15449233016800584,0.08144631117604091,0.09090909090909091,0.0,0.16666666666666666
11-15,447,12.92841163310962,0.7225950782997763,0.16906039107111956,0.07734902232220107,0.09090909090909091,0.0,0.1396103896103896
16-20,253,17.68774703557312,0.841897233201581,0.1928491620111732,0.07284916201117318,0.07692307692307693,0.05555555555555555,0.125
21-25,79,22.518987341772153,0.8481012658227848,0.1967397414277684,0.0629567172568859,0.0625,0.044466403162055336,0.125
26+,30,28.466666666666665,0.7333333333333333,0.1557377049180328,0.04332552693208431,0.04083333333333333,0.0,0.06666666666666667
