model,requested_documents,complete_documents,samples_per_document,missing_or_failed_samples,certificate_visible_errors,stable_visible_errors,stable_fraction,stable_ci95_lower,stable_ci95_upper,recurrence_0,recurrence_1,recurrence_2,recurrence_3,recurrence_4,recurrence_5
Qwen/Qwen2.5-14B-Instruct,50,50,5,0,158,31,0.1962025316455696,0.13737428249499742,0.2667814270857117,73,28,26,11,7,13
Qwen/Qwen2.5-32B-Instruct,50,50,5,0,102,28,0.27450980392156865,0.19078562507926505,0.37176057709995664,28,34,12,9,12,7
Qwen/Qwen2.5-72B-Instruct,50,50,5,0,168,74,0.44047619047619047,0.3640842549211332,0.5190057520148496,41,34,19,30,23,21
deepseek-ai/DeepSeek-V3,50,50,5,0,158,80,0.5063291139240507,0.4257383002209751,0.5866781095190463,39,22,17,16,36,28
THUDM/GLM-4-32B-0414,50,50,5,0,223,54,0.242152466367713,0.18745589906066543,0.30384182221494854,78,49,42,23,12,19
