model,documents,relations,documents_firing,conflict_hyperedges,checkable_violations,certificate_bound_total,certificate_bound_mean,certificate_bound_max,gold_verifiable_errors,tightness_median,tightness_q1,tightness_q3,spearman_bound_error,mean_maximum_vertex_degree,maximum_vertex_degree,mean_largest_component_hyperedges,maximum_component_hyperedges,mean_overlap_density
Qwen2.5-14B,297,3683,195,657,632,273,0.9191919191919192,5,2909,0.08333333333333333,0.0,0.14285714285714285,0.3266988039911087,1.898989898989899,12,2.0235690235690234,13,0.3351895018561685
Qwen2.5-32B,297,3414,196,573,540,247,0.8316498316498316,5,2611,0.08333333333333333,0.0,0.1464285714285714,0.33665807828095556,1.7373737373737375,12,1.7845117845117846,12,0.35496256455852415
Qwen2.5-72B,297,4557,214,773,684,346,1.164983164983165,5,3492,0.08333333333333333,0.0,0.13636363636363635,0.3509310947365131,2.026936026936027,15,2.242424242424242,15,0.3682542859310536
DeepSeek-V3,297,4185,218,752,691,297,1.0,5,3298,0.08012820512820512,0.0,0.125,0.3693649081988457,2.1885521885521886,14,2.3333333333333335,14,0.42030660136720743
