model,evaluated_documents,valid_documents,valid_output_rate,relations,documents_firing,conflict_hyperedges,certificate_bound_total,certificate_bound_mean_per_evaluated_document,certificate_bound_max,gold_verifiable_errors,detectable_errors,detectable_fraction
Qwen2.5-7B,300,15,0.05,4,0,0,0,0.0,0,3,0,0.0
Qwen2.5-14B,297,297,1.0,3683,195,667,273,0.9191919191919192,5,2909,722,0.2481952561017532
Qwen2.5-32B,297,297,1.0,3414,196,573,247,0.8316498316498316,5,2611,637,0.24396782841823056
Qwen2.5-72B,297,297,1.0,4557,214,774,346,1.164983164983165,5,3492,842,0.2411225658648339
DeepSeek-V3,297,297,1.0,4185,218,755,297,1.0,5,3298,832,0.25227410551849605
GLM-4-32B,300,300,1.0,4905,234,1207,395,1.3166666666666667,6,3694,1181,0.3197076340010828
